# Princeton water fill-up locations
# Format: latitude,longitude,type
# Roma
40.34181764,-74.65853732,public
40.348226,-74.661972,public
40.347801,-74.662058,private
40.347381,-74.661613,private
40.347328,-74.660900,private
40.346756,-74.661329,private
40.347283,-74.660047,private
40.347021,-74.659398,private
# Dillon
40.346604,-74.659645,private
40.345721,-74.658853,private
40.345930,-74.660119,private
40.345811,-74.660728,private
40.345251,-74.659589,private
# New South
40.343432,-74.658741,private
# Forbes
40.341915,-74.660946,public
# Whitman
40.343898,-74.658430,private
40.343530,-74.657798,private
40.343749,-74.657437,private
40.344158,-74.657915,private
# Baker Rink
40.342764,-74.657829,private
# MacMillan
40.342331,-74.656719,private
# Nassau
40.348573,-74.659293,private
# East Pyne
40.348706,-74.658483,private
# Firestone
40.349209,-74.657526,private
# Burr Hall
40.350218,-74.656613,private
# Dickinson Hall
40.348695,-74.656042,private
# McCormick Hall
40.347164,-74.657960,private
# Whig Hall
40.347785,-74.658620,private
# Theatre Intime
40.347987,-74.657662,private
# Frist
40.346415,-74.655422,public
# Woolworth
40.347143,-74.655733,private
# Wright Hall
40.345806,-74.657643,private
# Patton Hall
40.345379,-74.657462,private
# Walker Hall
40.345432,-74.657001,private
# Butler
# 1939
40.345342,-74.656542,private
# Dodge Osborn
40.345543,-74.655780,private
# Wu Hall
40.344627,-74.656467,private
# Wilcox Hall
40.345093,-74.656352,public
# 1915 Hall
40.344641,-74.656872,private
# Guyot Hall
40.345833,-74.654431,private
# Clapp
40.345146,-74.655895,private
# Yoseloff Hall
40.344268,-74.656266,private
# 1967 Hall
40.344024,-74.655665,private
# 1976 Hall
40.344588,-74.655611,private
# Wilf Hall
40.344382,-74.655104,private
# Scully Hall
40.344242,-74.654486,private
40.343901,-74.655210,private
# Bloomberg Hall
40.343619,-74.655567,private
40.343200,-74.655900,private
# CJL
40.346599,-74.653684,private
# Fisher Hall
40.348527,-74.654127,private
# Robertson Hall
40.348218,-74.654908,private
# Lewis Library
40.346113,-74.652749,public
# Taplin Auditorium
40.345741,-74.652274,public
# Frick
40.344146,-74.650922,public
