# Princeton water fill-up locations
# Format: latitude, longitude
# Roma
40.34181764, -74.65853732
40.348226, -74.661972
40.347801, -74.662058
40.347381, -74.661613
40.347328, -74.660900
40.346756, -74.661329
40.347283, -74.660047
40.347021, -74.659398
# Dillon
40.346604, -74.659645
40.345721, -74.658853
40.345930, -74.660119
40.345811, -74.660728
40.345251, -74.659589
# New South
40.343432, -74.658741
# Forbes
40.341915, -74.660946
# Whitman
40.343898, -74.658430
40.343530, -74.657798
40.343749, -74.657437
40.344158, -74.657915
# Baker Rink
40.342764, -74.657829
# MacMillan
40.342331, -74.656719
# TODO
